shipment_id,customer_name,customer_city,customer_state,customer_country,customer_segment,carrier_name,mode_of_transport,carrier_rating,origin_city,origin_state,origin_country,destination_city,destination_state,destination_country,product_name,category,unit_price,shipment_date,delivery_date,quantity,total_cost,payment_method,shipping_priority
1346,Apex Solutions,Seattle,TX,USA,Logistics,Express Delivery,Plane,4.5,Philadelphia,IL,USA,San Diego,NY,USA,Furniture,Industrial,52.38,5/9/2023,5/14/2023,167,8747.46,Wire Transfer,Expedited
1965,Dynaco Systems,New York,TX,USA,Corporate,Express Delivery,Plane,4.8,Phoenix,AZ,USA,Los Angeles,IL,USA,Furniture,Home Goods,68.24,5/18/2023,5/25/2023,157,10713.68,Wire Transfer,Standard
1740,Globex Inc.,San Francisco,NY,USA,Logistics,Express Delivery,Plane,4.1,Los Angeles,TX,USA,Seattle,PA,USA,Laptops,Media,56.95,5/10/2023,5/14/2023,59,3360.05,Wire Transfer,Expedited
1620,TechFuture Ltd.,Philadelphia,PA,USA,Wholesale,Air Cargo,Truck,4,San Francisco,NY,USA,Chicago,CA,USA,Furniture,Electronics,41.21,5/6/2023,5/13/2023,148,6099.08,Credit Card,Standard
1834,Globex Inc.,New York,PA,USA,Wholesale,Air Cargo,Truck,4.1,Los Angeles,IL,USA,Los Angeles,IL,USA,Furniture,Industrial,40.98,5/21/2023,5/25/2023,78,3196.44,Credit Card,Standard
1960,TechFuture Ltd.,San Diego,PA,USA,Corporate,Air Cargo,Truck,4.3,Phoenix,PA,USA,Chicago,CA,USA,Books,Apparel,61.18,5/14/2023,5/20/2023,233,14254.94,Credit Card,Standard
1267,Expo Logistics,Seattle,NY,USA,Corporate,Air Cargo,Plane,4.6,Chicago,AZ,USA,Boston,NY,USA,Machinery,Home Goods,33.78,5/7/2023,5/14/2023,83,2803.74,Bank Transfer,Expedited
1331,Globex Inc.,New York,AZ,USA,Logistics,Air Cargo,Truck,4.2,Chicago,CA,USA,Boston,AZ,USA,Laptops,Home Goods,33.68,5/23/2023,5/30/2023,75,2526,Bank Transfer,Expedited
1341,Apex Solutions,Seattle,NY,USA,Retail,Ocean Freight,Ship,4.1,Houston,AZ,USA,Boston,CA,USA,Machinery,Home Goods,51.45,5/21/2023,5/28/2023,165,8489.25,Bank Transfer,Standard
1159,TechFuture Ltd.,San Francisco,IL,USA,Corporate,Express Delivery,Truck,4.8,Philadelphia,NY,USA,New York,NY,USA,Furniture,Media,36.02,5/6/2023,5/10/2023,100,3602,Credit Card,Standard
1140,Acme Corporation,Seattle,IL,USA,Retail,Express Delivery,Ship,4.7,Phoenix,PA,USA,Seattle,AZ,USA,Furniture,Industrial,67.59,5/16/2023,5/24/2023,142,9597.78,Credit Card,Expedited
1344,Acme Corporation,Philadelphia,IL,USA,Corporate,Air Cargo,Truck,5,Philadelphia,PA,USA,Los Angeles,IL,USA,Machinery,Apparel,48.56,5/8/2023,5/14/2023,131,6361.36,Bank Transfer,Standard
1427,Apex Solutions,San Diego,PA,USA,Logistics,Air Cargo,Ship,4.9,Houston,TX,USA,Houston,IL,USA,Books,Electronics,30.88,5/28/2023,6/4/2023,58,1791.04,Wire Transfer,Standard
1197,Expo Logistics,Boston,TX,USA,Corporate,Air Cargo,Plane,4.4,Boston,NY,USA,Los Angeles,CA,USA,Machinery,Industrial,47.85,5/16/2023,5/22/2023,203,9713.55,Credit Card,Expedited
1230,NexGen Enterprises,San Antonio,IL,USA,Logistics,Air Cargo,Truck,4.8,Los Angeles,PA,USA,San Francisco,IL,USA,Books,Media,62.95,5/21/2023,5/25/2023,72,4532.4,Wire Transfer,Standard
1448,Acme Corporation,Chicago,CA,USA,Wholesale,Ocean Freight,Ship,4.6,Houston,PA,USA,Chicago,AZ,USA,Machinery,Home Goods,39.65,5/9/2023,5/15/2023,172,6819.8,Credit Card,Standard
1396,Globex Inc.,San Diego,NY,USA,Wholesale,Air Cargo,Plane,4.8,Boston,PA,USA,New York,CA,USA,Clothing,Apparel,65.8,5/29/2023,6/4/2023,52,3421.6,Wire Transfer,Expedited
1863,Stark Industries,Los Angeles,CA,USA,Corporate,Ocean Freight,Ship,4.5,Philadelphia,PA,USA,Houston,NY,USA,Laptops,Home Goods,59.75,5/8/2023,5/14/2023,103,6154.25,Bank Transfer,Standard
1148,Dynaco Systems,Seattle,AZ,USA,Wholesale,Ocean Freight,Ship,4.9,Phoenix,TX,USA,San Diego,PA,USA,Clothing,Industrial,54.29,5/7/2023,5/11/2023,70,3800.3,Credit Card,Standard
1387,Globex Inc.,Philadelphia,TX,USA,Corporate,Express Delivery,Ship,4.3,San Antonio,IL,USA,Chicago,CA,USA,Furniture,Industrial,43.13,5/19/2023,5/27/2023,231,9963.03,Wire Transfer,Standard
1892,Dynaco Systems,Los Angeles,CA,USA,Logistics,Air Cargo,Truck,4.6,San Francisco,CA,USA,Philadelphia,CA,USA,Laptops,Electronics,49.82,5/18/2023,5/22/2023,70,3487.4,Wire Transfer,Expedited
1554,Stark Industries,Seattle,AZ,USA,Logistics,Express Delivery,Ship,4.4,Boston,IL,USA,New York,AZ,USA,Clothing,Home Goods,66.92,5/5/2023,5/10/2023,58,3881.36,Credit Card,Standard
1633,TechFuture Ltd.,San Francisco,PA,USA,Corporate,Air Cargo,Ship,4.1,Phoenix,AZ,USA,New York,TX,USA,Clothing,Media,32.17,5/20/2023,5/28/2023,225,7238.25,Wire Transfer,Standard
1724,Apex Solutions,Seattle,NY,USA,Logistics,Air Cargo,Plane,4.3,Houston,CA,USA,Seattle,PA,USA,Furniture,Media,59.72,5/13/2023,5/17/2023,164,9794.08,Wire Transfer,Standard
1127,Apex Solutions,Phoenix,NY,USA,Retail,Express Delivery,Ship,4.5,San Francisco,IL,USA,San Antonio,AZ,USA,Books,Electronics,55.48,5/13/2023,5/17/2023,156,8654.88,Credit Card,Expedited
1864,TechFuture Ltd.,Phoenix,NY,USA,Wholesale,Ocean Freight,Ship,4.6,Chicago,NY,USA,Seattle,TX,USA,Laptops,Electronics,63.63,5/19/2023,5/23/2023,217,13807.71,Credit Card,Expedited
1914,NexGen Enterprises,San Francisco,CA,USA,Retail,Air Cargo,Truck,4.9,Boston,TX,USA,Los Angeles,TX,USA,Furniture,Apparel,52.82,5/14/2023,5/20/2023,71,3750.22,Wire Transfer,Standard
1145,NexGen Enterprises,Phoenix,CA,USA,Retail,Air Cargo,Plane,4.5,Houston,CA,USA,San Antonio,IL,USA,Books,Home Goods,53.56,5/9/2023,5/14/2023,200,10712,Bank Transfer,Standard
1640,Expo Logistics,New York,CA,USA,Retail,Ocean Freight,Truck,4.2,Houston,TX,USA,Chicago,PA,USA,Books,Home Goods,64.34,5/8/2023,5/14/2023,130,8364.2,Bank Transfer,Expedited
1987,Acme Corporation,San Diego,IL,USA,Retail,Ocean Freight,Plane,5,Phoenix,TX,USA,San Francisco,IL,USA,Books,Home Goods,41.32,5/8/2023,5/14/2023,225,9297,Wire Transfer,Expedited
1674,Expo Logistics,San Antonio,IL,USA,Logistics,Express Delivery,Ship,4.9,Philadelphia,TX,USA,San Diego,PA,USA,Machinery,Industrial,64.42,5/10/2023,5/16/2023,162,10436.04,Bank Transfer,Standard
1851,Globex Inc.,Houston,IL,USA,Retail,Air Cargo,Ship,5,Seattle,IL,USA,Philadelphia,CA,USA,Furniture,Industrial,55.31,5/8/2023,5/13/2023,194,10730.14,Wire Transfer,Standard
1801,Stark Industries,Houston,NY,USA,Corporate,Ocean Freight,Ship,4.2,Boston,PA,USA,San Francisco,NY,USA,Furniture,Electronics,58.88,5/24/2023,6/1/2023,167,9832.96,Wire Transfer,Expedited
1968,Expo Logistics,Seattle,AZ,USA,Logistics,Express Delivery,Plane,4.9,Phoenix,AZ,USA,Phoenix,AZ,USA,Furniture,Industrial,53.06,5/17/2023,5/21/2023,197,10452.82,Bank Transfer,Standard
1129,Expo Logistics,Phoenix,CA,USA,Logistics,Air Cargo,Ship,4.7,New York,NY,USA,New York,PA,USA,Clothing,Electronics,68.35,5/17/2023,5/24/2023,78,5331.3,Wire Transfer,Standard
1156,Apex Solutions,San Francisco,IL,USA,Logistics,Ocean Freight,Ship,4.7,Chicago,AZ,USA,Chicago,TX,USA,Furniture,Electronics,66.67,5/4/2023,5/10/2023,106,7067.02,Credit Card,Expedited
1606,Expo Logistics,San Antonio,TX,USA,Logistics,Express Delivery,Plane,5,Houston,AZ,USA,San Francisco,PA,USA,Clothing,Home Goods,30.28,5/10/2023,5/15/2023,85,2573.8,Wire Transfer,Expedited
1340,Dynaco Systems,San Diego,TX,USA,Corporate,Express Delivery,Plane,4,Los Angeles,NY,USA,Chicago,TX,USA,Laptops,Industrial,58.81,5/7/2023,5/11/2023,80,4704.8,Bank Transfer,Standard
1969,Stark Industries,Boston,PA,USA,Logistics,Express Delivery,Truck,4.8,Chicago,AZ,USA,San Francisco,PA,USA,Clothing,Media,36.82,5/26/2023,5/31/2023,245,9020.9,Bank Transfer,Expedited
1328,Apex Solutions,Phoenix,CA,USA,Wholesale,Ocean Freight,Truck,4.8,Los Angeles,CA,USA,Seattle,PA,USA,Clothing,Electronics,33.95,5/20/2023,5/26/2023,109,3700.55,Bank Transfer,Standard
1602,Acme Corporation,San Antonio,IL,USA,Logistics,Express Delivery,Ship,4,Philadelphia,PA,USA,Houston,NY,USA,Clothing,Apparel,31.68,5/18/2023,5/25/2023,206,6526.08,Wire Transfer,Standard
1962,Globex Inc.,San Diego,PA,USA,Corporate,Express Delivery,Plane,4.3,San Francisco,TX,USA,Boston,NY,USA,Machinery,Home Goods,50.3,5/8/2023,5/13/2023,235,11820.5,Wire Transfer,Standard
1402,Stark Industries,Houston,AZ,USA,Logistics,Express Delivery,Plane,4.2,Chicago,IL,USA,Chicago,PA,USA,Laptops,Home Goods,65,5/13/2023,5/18/2023,208,13520,Bank Transfer,Expedited
1663,Stark Industries,Los Angeles,IL,USA,Logistics,Air Cargo,Truck,4.9,Seattle,NY,USA,San Antonio,IL,USA,Machinery,Electronics,68.56,5/17/2023,5/23/2023,109,7473.04,Wire Transfer,Standard
1111,Dynaco Systems,Boston,TX,USA,Corporate,Ocean Freight,Truck,5,New York,PA,USA,New York,IL,USA,Books,Media,59.07,5/15/2023,5/22/2023,61,3603.27,Credit Card,Standard
1388,Dynaco Systems,San Antonio,IL,USA,Retail,Express Delivery,Ship,4.4,Phoenix,PA,USA,San Antonio,CA,USA,Clothing,Home Goods,49.05,5/28/2023,6/5/2023,208,10202.4,Credit Card,Expedited
2000,Stark Industries,New York,NY,USA,Corporate,Air Cargo,Plane,4.9,Seattle,NY,USA,Philadelphia,NY,USA,Clothing,Electronics,31.02,5/5/2023,5/12/2023,121,3753.42,Bank Transfer,Expedited
1240,Dynaco Systems,Phoenix,NY,USA,Corporate,Ocean Freight,Plane,4.6,Chicago,CA,USA,Phoenix,PA,USA,Machinery,Apparel,42.11,5/16/2023,5/23/2023,239,10064.29,Bank Transfer,Expedited
1746,Acme Corporation,San Antonio,AZ,USA,Retail,Air Cargo,Ship,4.3,Phoenix,PA,USA,Los Angeles,CA,USA,Books,Home Goods,65.94,5/21/2023,5/28/2023,84,5538.96,Bank Transfer,Expedited
1927,NexGen Enterprises,San Francisco,CA,USA,Retail,Ocean Freight,Truck,4.4,San Antonio,TX,USA,Chicago,TX,USA,Machinery,Media,49.45,5/11/2023,5/19/2023,190,9395.5,Wire Transfer,Expedited
1705,NexGen Enterprises,Seattle,IL,USA,Retail,Express Delivery,Truck,4.5,New York,IL,USA,San Antonio,PA,USA,Books,Electronics,65.04,5/19/2023,5/25/2023,114,7414.56,Wire Transfer,Standard
1193,Apex Solutions,Seattle,AZ,USA,Wholesale,Air Cargo,Truck,4.3,Los Angeles,TX,USA,San Antonio,CA,USA,Books,Media,54.02,5/17/2023,5/23/2023,143,7724.86,Wire Transfer,Expedited
1827,NexGen Enterprises,Los Angeles,AZ,USA,Retail,Express Delivery,Ship,4.6,Boston,CA,USA,Chicago,PA,USA,Furniture,Industrial,65.22,5/8/2023,5/16/2023,227,14804.94,Credit Card,Expedited
1562,Expo Logistics,San Diego,PA,USA,Corporate,Express Delivery,Ship,4.1,Houston,CA,USA,Chicago,NY,USA,Machinery,Industrial,36.5,5/15/2023,5/22/2023,125,4562.5,Wire Transfer,Expedited
1934,NexGen Enterprises,San Francisco,CA,USA,Corporate,Air Cargo,Ship,4.3,Boston,NY,USA,Phoenix,CA,USA,Clothing,Electronics,31.18,5/13/2023,5/18/2023,211,6578.98,Wire Transfer,Standard
1798,Globex Inc.,Philadelphia,TX,USA,Retail,Express Delivery,Plane,4.2,Seattle,AZ,USA,Los Angeles,IL,USA,Books,Apparel,69.1,5/5/2023,5/9/2023,210,14511,Credit Card,Standard
1667,NexGen Enterprises,New York,CA,USA,Logistics,Express Delivery,Truck,4.9,San Diego,IL,USA,Chicago,AZ,USA,Books,Electronics,37.58,5/3/2023,5/7/2023,111,4171.38,Credit Card,Standard
1858,Stark Industries,Boston,AZ,USA,Logistics,Ocean Freight,Ship,4.3,San Diego,NY,USA,New York,PA,USA,Machinery,Media,38.1,5/18/2023,5/24/2023,109,4152.9,Credit Card,Expedited
1931,TechFuture Ltd.,San Diego,IL,USA,Retail,Air Cargo,Plane,4,Seattle,TX,USA,San Antonio,PA,USA,Clothing,Media,30.24,5/10/2023,5/15/2023,98,2963.52,Wire Transfer,Expedited
1713,NexGen Enterprises,Phoenix,IL,USA,Retail,Express Delivery,Plane,4.1,Philadelphia,NY,USA,Houston,CA,USA,Machinery,Home Goods,45.44,5/7/2023,5/15/2023,227,10314.88,Credit Card,Standard
1410,Apex Solutions,San Francisco,AZ,USA,Logistics,Air Cargo,Plane,4.8,San Antonio,TX,USA,San Diego,TX,USA,Clothing,Media,34.06,5/10/2023,5/17/2023,121,4121.26,Credit Card,Standard
1605,Globex Inc.,Boston,IL,USA,Corporate,Air Cargo,Plane,4.9,Philadelphia,NY,USA,San Antonio,PA,USA,Machinery,Electronics,62.5,5/28/2023,6/3/2023,71,4437.5,Wire Transfer,Expedited
1424,NexGen Enterprises,San Antonio,IL,USA,Wholesale,Express Delivery,Ship,4.6,Phoenix,CA,USA,Houston,AZ,USA,Clothing,Apparel,65.15,5/23/2023,5/30/2023,108,7036.2,Wire Transfer,Expedited
1046,Expo Logistics,Seattle,AZ,USA,Wholesale,Air Cargo,Truck,4.5,Los Angeles,NY,USA,Philadelphia,AZ,USA,Laptops,Industrial,60.53,5/24/2023,6/1/2023,243,14708.79,Wire Transfer,Standard
1814,Dynaco Systems,Houston,IL,USA,Retail,Express Delivery,Ship,4.4,San Diego,TX,USA,Houston,NY,USA,Laptops,Electronics,62.75,5/23/2023,5/31/2023,237,14871.75,Credit Card,Expedited
1954,TechFuture Ltd.,San Antonio,IL,USA,Corporate,Air Cargo,Truck,4.4,Phoenix,TX,USA,Boston,NY,USA,Furniture,Industrial,37.94,5/9/2023,5/17/2023,118,4476.92,Bank Transfer,Expedited
1017,Globex Inc.,Boston,AZ,USA,Retail,Express Delivery,Plane,4.2,Seattle,NY,USA,San Diego,TX,USA,Machinery,Industrial,43.19,5/22/2023,5/30/2023,102,4405.38,Credit Card,Standard
1315,NexGen Enterprises,Philadelphia,AZ,USA,Retail,Express Delivery,Truck,4.1,San Francisco,CA,USA,San Diego,CA,USA,Clothing,Electronics,62.54,5/10/2023,5/15/2023,127,7942.58,Credit Card,Standard
